public_space_name,house_number,house_letter,house_number_addition,postcode,city,gemeente,province,type_address_object,addressable_object,side_address,latitude,longitude,geompoint,geogpoint
De Ruijterkade,112,G,,1011AB,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012124573,f,52.37778329,4.90576059,010100002040710000E7FBA9F196D6FD40E926318814C71D41,0101000020E6100000A11A2CB47F9F1340D9ACEF335B304A40
De Ruijterkade,112,K,,1011AB,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012124574,f,52.37778101,4.90578633,0101000020407100005C8FC2F5B2D6FD40F4FDD47813C71D41,0101000020E61000009FE48F73869F134007A9D5205B304A40
De Ruijterkade,112,M,,1011AB,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012086791,f,52.37773827,4.90580561,0101000020407100007F6ABC74C7D6FD40DBF97E6A00C71D41,0101000020E6100000D04335818B9F13408C5C50BA59304A40
De Ruijterkade,112,N,,1011AB,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012086792,f,52.3777365,4.90581856,0101000020407100003BDF4F8DD5D6FD4077BE9F9AFFC61D41,0101000020E61000006DB0C8E68E9F1340256573AB59304A40
De Ruijterkade,112,P,,1011AB,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012086793,f,52.37773231,4.90580971,010100002040710000E5D022DBCBD6FD404C3789C1FDC61D41,0101000020E610000000AA94948C9F13403D12518859304A40
De Ruijterkade,112,U,,1011AB,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012086794,f,52.37776678,4.90582396,0101000020407100001283C0CADBD6FD40B07268110DC71D41,0101000020E6100000DD761A51909F13400D6E69A95A304A40
De Ruijterkade,113,,,1011AB,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000618806,f,52.3777294,4.90606321,01010000204071000000000000E0D7FD4000000000FCC61D41,0101000020E6100000C2B29D08CF9F13409A71DC6F59304A40
De Ruijterkade,120,,2,1011AB,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000618808,f,52.37769464,4.90635731,0101000020407100000000000020D9FD4000000000ECC61D41,0101000020E61000001EB141211CA01340BB1E4E4C58304A40
De Ruijterkade,120,,H,1011AB,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000618807,f,52.37769464,4.90635731,0101000020407100000000000020D9FD4000000000ECC61D41,0101000020E61000001EB141211CA01340BB1E4E4C58304A40
De Ruijterkade,124,,,1011AB,Amsterdam,Amsterdam,Noord-Holland,VBO,363010000618809,f,52.37765959,4.90657798,0101000020407100000000000010DAFD4000000000DCC61D41,0101000020E6100000B7C040FA55A0134023463E2657304A40
De Ruijterkade,125,,,1011AC,Amsterdam,Amsterdam,Noord-Holland,VBO,363010011258949,f,52.37764209,4.90669566,0101000020407100000000000090DAFD4000000000D4C61D41,0101000020E61000002CE680D374A013400901769356304A40
De Ruijterkade,127,,,1011AC,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012086219,f,52.37761993,4.90694834,0101000020407100002FDD2406A3DBFD40E17A14AEC9C61D41,0101000020E610000058417F10B7A013400EE48AD955304A40
De Ruijterkade,128,A,,1011AC,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012579251,f,52.37758369,4.9071753,0101000020407100005A643BDF99DCFD401B2FDD24B9C61D41,0101000020E6100000A7771D90F2A01340912E95A954304A40
De Ruijterkade,128,B,,1011AC,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012579252,f,52.37757201,4.9071675,0101000020407100001D5A643B91DCFD405C8FC2F5B3C61D41,0101000020E6100000C5E26484F0A013405F409B4754304A40
De Ruijterkade,128,C,,1011AC,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012579253,f,52.37755937,4.90716286,010100002040710000E92631088CDCFD40713D0A57AEC61D41,0101000020E61000001796454DEFA013402F1985DD53304A40
De Ruijterkade,128,D,,1011AC,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012579254,f,52.37754769,4.90715665,010100002040710000EC51B81E85DCFD40B29DEF27A9C61D41,0101000020E610000074CCFCABEDA0134034F9987B53304A40
De Ruijterkade,128,E,,1011AC,Amsterdam,Amsterdam,Noord-Holland,VBO,363010012579255,f,52.37753019,4.90715208,0101000020407100002DB29DEF7FDCFD4037894160A1C61D41,0101000020E6100000BE5A6079ECA0134039E8CCE852304A40
